file: U1 | progress: 1000000 rows | time: 8 sec
file: U1 | progress: 2000000 rows | time: 18 sec
file: U1 | progress: 3000000 rows | time: 27 sec
file: U1 | progress: 4000000 rows | time: 36 sec
file: U1 | progress: 5000000 rows | time: 47 sec
file: U1 | progress: 6000000 rows | time: 60 sec
file: U1 | progress: 7000000 rows | time: 73 sec
file: U1 | progress: 8000000 rows | time: 85 sec
file: U1 | progress: 9000000 rows | time: 97 sec
file: U1 | progress: 10000000 rows | time: 109 sec
file: U1 | progress: 11000000 rows | time: 122 sec
file: U1 | progress: 12000000 rows | time: 136 sec
file: U1 | progress: 13000000 rows | time: 150 sec
file: U1 | progress: 14000000 rows | time: 163 sec
file: U1 | progress: 15000000 rows | time: 176 sec
file: U5 | progress: 1000000 rows | time: 210 sec
file: U5 | progress: 2000000 rows | time: 219 sec
file: U5 | progress: 3000000 rows | time: 227 sec
file: U5 | progress: 4000000 rows | time: 235 sec
file: U5 | progress: 5000000 rows | time: 246 sec
file: U5 | progress: 6000000 rows | time: 259 sec
file: U5 | progress: 7000000 rows | time: 272 sec
file: U5 | progress: 8000000 rows | time: 286 sec
file: U5 | progress: 9000000 rows | time: 299 sec
file: U5 | progress: 10000000 rows | time: 311 sec
file: U5 | progress: 11000000 rows | time: 324 sec
file: U5 | progress: 12000000 rows | time: 337 sec
file: U5 | progress: 13000000 rows | time: 350 sec
file: U5 | progress: 14000000 rows | time: 362 sec
file: U5 | progress: 15000000 rows | time: 374 sec
file: U5 | progress: 16000000 rows | time: 385 sec
file: U9 | progress: 1000000 rows | time: 407 sec
file: U9 | progress: 2000000 rows | time: 416 sec
file: U9 | progress: 3000000 rows | time: 425 sec
file: U9 | progress: 4000000 rows | time: 434 sec
file: U9 | progress: 5000000 rows | time: 446 sec
file: U9 | progress: 6000000 rows | time: 461 sec
file: U9 | progress: 7000000 rows | time: 475 sec
file: U9 | progress: 8000000 rows | time: 489 sec
file: U9 | progress: 9000000 rows | time: 502 sec
file: U9 | progress: 10000000 rows | time: 515 sec
file: U9 | progress: 11000000 rows | time: 526 sec
file: U9 | progress: 12000000 rows | time: 538 sec
file: U9 | progress: 13000000 rows | time: 551 sec
file: U9 | progress: 14000000 rows | time: 564 sec
file: U9 | progress: 15000000 rows | time: 576 sec
file: U9 | progress: 16000000 rows | time: 587 sec
file: Ud | progress: 1000000 rows | time: 609 sec
file: Ud | progress: 2000000 rows | time: 619 sec
file: Ud | progress: 3000000 rows | time: 628 sec
file: Ud | progress: 4000000 rows | time: 636 sec
file: Ud | progress: 5000000 rows | time: 646 sec
file: Ud | progress: 6000000 rows | time: 657 sec
file: Ud | progress: 7000000 rows | time: 671 sec
file: Ud | progress: 8000000 rows | time: 684 sec
file: Ud | progress: 9000000 rows | time: 697 sec
file: Ud | progress: 10000000 rows | time: 708 sec
file: Ud | progress: 11000000 rows | time: 720 sec
file: Ud | progress: 12000000 rows | time: 733 sec
file: Ud | progress: 13000000 rows | time: 746 sec
file: Ud | progress: 14000000 rows | time: 760 sec
file: Ud | progress: 15000000 rows | time: 773 sec
file: Ud | progress: 16000000 rows | time: 786 sec
end: 793 sec
